Date,Open,High,Low,Close,Adj Close,Volume
2016-02-01,13.490000,14.100000,13.400000,13.910000,12.802109,2758500
2016-02-02,13.690000,13.690000,13.320000,13.380000,12.314322,3069600
2016-02-03,13.510000,13.510000,12.780000,13.250000,12.194677,5025400
2016-02-04,13.200000,13.700000,13.160000,13.640000,12.553614,3633500
2016-02-05,13.670000,14.320000,13.670000,13.830000,12.728481,3251200
2016-02-08,13.610000,13.630000,12.720000,12.930000,11.900164,4376100
2016-02-09,12.600000,12.930000,12.300000,12.620000,11.614853,4639400
2016-02-10,12.780000,12.800000,11.670000,11.710000,10.777331,7702300
2016-02-11,11.300000,11.700000,10.890000,11.130000,10.243528,13051800
2016-02-12,11.230000,11.960000,11.170000,11.940000,10.989013,5623000
2016-02-16,12.120000,12.510000,12.000000,12.480000,11.486004,4687300
2016-02-17,12.200000,12.620000,12.150000,12.600000,11.596447,6600100
2016-02-18,12.640000,12.870000,12.350000,12.810000,11.941357,4090500
2016-02-19,12.710000,13.040000,12.590000,12.820000,11.950679,2776800
2016-02-22,12.980000,13.230000,12.910000,13.160000,12.267624,2408100
2016-02-23,13.030000,13.190000,12.790000,13.010000,12.127794,2373200
2016-02-24,12.760000,12.870000,12.390000,12.620000,11.764240,5375600
2016-02-25,12.600000,12.710000,11.940000,12.260000,11.428653,8037200
2016-02-26,12.360000,12.610000,12.170000,12.340000,11.503227,6365100
2016-02-29,12.400000,12.880000,12.400000,12.840000,11.969321,3382300
2016-03-01,12.910000,13.070000,12.770000,12.960000,12.081184,1989500
2016-03-02,12.960000,13.100000,12.740000,12.780000,11.913390,3156300
2016-03-03,12.710000,13.010000,12.650000,12.980000,12.099830,5892200
2016-03-04,12.980000,13.570000,12.970000,13.420000,12.509992,4050800
2016-03-07,13.360000,14.050000,13.350000,13.950000,13.004053,5446700
2016-03-08,13.810000,13.890000,13.340000,13.340000,12.435417,1792400
2016-03-09,13.500000,13.690000,13.390000,13.500000,12.584569,1904900
2016-03-10,13.550000,13.790000,13.370000,13.780000,12.845580,2275500
2016-03-11,13.880000,14.200000,13.870000,14.150000,13.190493,3605600
2016-03-14,14.100000,14.280000,13.970000,14.110000,13.153204,2727100
2016-03-15,14.000000,14.060000,13.780000,13.950000,13.004053,2661100
2016-03-16,13.870000,14.470000,13.870000,14.350000,13.376929,3294400
2016-03-17,14.330000,15.200000,14.250000,15.040000,14.020141,3043200
2016-03-18,15.060000,15.120000,14.700000,14.780000,13.777772,3201700
2016-03-21,14.770000,15.020000,14.750000,14.930000,13.917601,2943100
2016-03-22,14.870000,14.960000,14.600000,14.870000,13.861669,1752900
2016-03-23,14.830000,14.920000,14.160000,14.200000,13.237102,2236800
2016-03-24,14.050000,14.050000,13.510000,13.900000,12.957442,2482200
2016-03-28,13.900000,14.260000,13.750000,14.100000,13.143882,1902000
2016-03-29,14.000000,14.410000,13.750000,14.370000,13.395573,1640100
2016-03-30,14.510000,14.740000,14.300000,14.500000,13.516759,1924800
2016-03-31,14.420000,14.690000,14.400000,14.690000,13.693873,1620700
2016-04-01,14.500000,14.570000,14.200000,14.350000,13.376929,1217000
2016-04-04,14.250000,14.350000,13.950000,14.000000,13.050663,1609700
2016-04-05,13.870000,13.890000,13.210000,13.370000,12.463384,2978700
2016-04-06,13.390000,13.480000,13.110000,13.470000,12.556602,2427600
2016-04-07,13.290000,13.440000,13.150000,13.300000,12.398129,3339600
