Stock Quotes for KKR,,,,,
Date,Open,High,Low,Close,Volume
2016-02-01,13.49,14.1,13.4,13.91,2720401
2016-02-02,13.69,13.69,13.32,13.38,2875181
2016-02-03,13.51,13.51,12.91,13.25,4926535
2016-02-04,13.2,13.7,13.16,13.64,3633537
2016-02-05,13.67,14.32,13.67,13.83,3224732
2016-02-08,13.61,13.63,12.72,12.93,4173066
2016-02-09,12.6,12.93,12.3,12.62,4639351
2016-02-10,12.78,12.8,11.67,11.71,7574986
2016-02-11,11.3,11.7,10.89,11.13,13048200
2016-02-12,11.23,11.96,11.17,11.94,5415271
2016-02-16,12.12,12.5,12,12.48,4642730
2016-02-17,12.2,12.62,12.15,12.6,6482504
2016-02-18,12.64,12.87,12.35,12.81,3947963
2016-02-19,12.71,13.04,12.58,12.82,2704611
2016-02-22,12.98,13.23,12.91,13.16,2284897
2016-02-23,13.03,13.19,12.79,13.01,2373198
2016-02-24,12.76,12.86,12.39,12.62,5240110
2016-02-25,12.6,12.71,11.94,12.26,8037181
2016-02-26,12.36,12.61,12.17,12.34,6289530
2016-02-29,12.4,12.88,12.4,12.84,3375829
2016-03-01,12.91,13.07,12.77,12.96,1954438
2016-03-02,12.96,13.1,12.74,12.78,3156260
2016-03-03,12.71,13.01,12.65,12.98,5966427
2016-03-04,12.98,13.57,12.97,13.42,3629369
2016-03-07,13.36,14.05,13.35,13.95,5446668
2016-03-08,13.81,13.89,13.34,13.34,1785480
2016-03-09,13.5,13.69,13.39,13.5,1904471
2016-03-10,13.55,13.79,13.37,13.78,2310898
2016-03-11,13.88,14.2,13.87,14.15,3589100
2016-03-14,14.1,14.28,13.97,14.11,2677062
2016-03-15,14,14.06,13.78,13.95,2661113
2016-03-16,13.87,14.47,13.87,14.35,3294374
2016-03-17,14.33,15.2,14.25,15.04,3041915
2016-03-18,15.06,15.12,14.7,14.78,3086717
2016-03-21,14.77,15.02,14.75,14.93,2943224
2016-03-22,14.87,14.96,14.6,14.87,1752866
2016-03-23,14.83,14.92,14.16,14.2,2236830
2016-03-24,14.05,14.05,13.51,13.9,2482188
2016-03-28,13.9,14.26,13.75,14.1,1901069
2016-03-29,14,14.41,13.75,14.37,1640104
2016-03-30,14.51,14.74,14.3,14.5,1924817
2016-03-31,14.42,14.69,14.4,14.69,1619926
2016-04-01,14.5,14.57,14.2,14.35,1216992
2016-04-04,14.25,14.35,13.95,14,1608446
2016-04-05,13.87,13.89,13.21,13.37,2978679
2016-04-06,13.39,13.48,13.11,13.47,2428063
2016-04-07,13.29,13.44,13.15,13.3,3339573
2016-04-08,13.48,13.66,13.04,13.05,2040502
2016-04-11,13.08,13.29,13.05,13.19,2649872
2016-04-12,13.22,13.3,13,13.28,3067252
2016-04-13,13.36,13.81,13.28,13.78,2832009
2016-04-14,13.76,13.76,13.28,13.71,2795798
2016-04-15,13.66,13.89,13.61,13.67,2127350
2016-04-18,13.65,14.02,13.6,13.95,1845518
2016-04-19,13.99,14.45,13.94,14.36,3298206
2016-04-20,14.44,14.84,14.37,14.81,2715551
2016-04-21,14.81,15.04,14.65,14.87,2871389
2016-04-22,14.89,15.11,14.81,14.94,2087967
2016-04-25,14.32,14.82,14.16,14.49,3546257
2016-04-26,14.52,14.96,14.5,14.52,2018500
2016-04-27,14.36,14.55,14.07,14.37,2214612
2016-04-28,14.3,14.48,13.9,13.92,2368853
2016-04-29,13.89,14.04,13.32,13.6,2376617
2016-05-02,13.6,13.74,13.44,13.44,3195070
2016-05-03,13.19,13.55,12.92,13.5,4023061
2016-05-04,13.46,13.7,13.09,13.39,3945083
2016-05-05,13.45,13.59,13.14,13.17,1762175
2016-05-06,13.06,13.46,13.05,13.17,1828577
2016-05-09,13.09,13.21,13,13.05,1780653
2016-05-10,13.05,13.25,12.99,13,3303476
2016-05-11,12.97,13.1,12.85,12.85,2595082
2016-05-12,12.86,13,12.62,12.98,2440158
2016-05-13,12.86,13.1,12.64,12.67,2295080
2016-05-16,12.71,13.08,12.71,13.01,3163815
2016-05-17,12.96,13.5,12.94,13.13,2719563
2016-05-18,13.12,13.49,13,13.13,1917844
2016-05-19,13.08,13.1,12.5,12.82,5565376
2016-05-20,12.92,13.27,12.87,13.05,2978864
2016-05-23,12.9,13.2,12.9,13.06,2481983
2016-05-24,13.1,13.41,13.09,13.38,2861927
2016-05-25,13.39,13.71,13.39,13.57,4072931
2016-05-26,13.57,13.64,13.42,13.42,1977319
2016-05-27,13.38,13.58,13.26,13.52,1430449
2016-05-31,13.53,13.63,13.43,13.51,1797332
2016-06-01,13.39,13.68,13.28,13.63,1647106
2016-06-02,13.5,13.7,13.5,13.66,1467313
2016-06-03,13.53,13.59,13.42,13.54,1960179
2016-06-06,13.54,14.09,13.5,14.04,2279524
2016-06-07,14.07,14.31,14.06,14.07,3621364
2016-06-08,14.04,14.22,13.88,13.91,2105893
2016-06-09,13.82,13.85,13.54,13.64,2151899
2016-06-10,13.43,13.48,13.26,13.37,3163467
2016-06-13,13.23,13.42,13.05,13.11,2745886
2016-06-14,13.03,13.22,12.69,12.72,2727699
2016-06-15,12.8,12.98,12.65,12.69,3858813
2016-06-16,12.58,12.62,12.17,12.41,2842694
2016-06-17,12.45,12.65,12.39,12.46,2191260
2016-06-20,12.65,13,12.62,12.78,2585911
2016-06-21,12.85,13.13,12.78,13.08,2248504
2016-06-22,13.1,13.29,13,13.01,2110864
2016-06-23,13.22,13.41,13.14,13.25,2662071
2016-06-24,12.45,12.91,12.35,12.42,4347354
2016-06-27,12.21,12.21,11.9,11.98,4008639
2016-06-28,12.4,12.5,11.9,12.01,2318018
2016-06-29,12.21,12.52,12.06,12.48,1909439
2016-06-30,12.45,12.6,12.24,12.34,1903901
2016-07-01,12.25,12.45,12.25,12.34,1595354
2016-07-05,12.21,12.26,11.95,12.06,3207090
2016-07-06,11.99,12.04,11.63,12,3974606
2016-07-07,12.1,12.29,11.99,12.09,3116407
2016-07-08,12.25,12.37,12.17,12.3,3093746
2016-07-11,12.32,12.51,12.26,12.48,3444009
2016-07-12,12.62,12.66,12.36,12.48,4816109
2016-07-13,12.43,12.49,12.15,12.4,3177036
2016-07-14,12.52,12.64,12.5,12.57,2066427
2016-07-15,12.57,12.93,12.56,12.85,2264667
2016-07-18,12.85,13.13,12.85,12.92,1934837
2016-07-19,13.03,13.08,12.87,13.06,2655614
