Stock Quotes for WMT,,,,,
Date,Open,High,Low,Close,Volume
2016-02-01,65.91,67.93,65.89,67.5,14517677
2016-02-02,67.3,67.84,66.28,66.86,13545337
2016-02-03,67.31,67.5,65.07,66.27,12288808
2016-02-04,65.76,66.55,65.01,66.42,12789931
2016-02-05,66.86,67.53,65.88,67,14122092
2016-02-08,66.5,67.15,65.16,66.9,18905952
2016-02-09,65.49,66.41,64.68,65.81,14184327
2016-02-10,66.19,66.59,65.64,65.79,9699657
2016-02-11,65.02,65.76,64.78,65.32,11122686
2016-02-12,65.52,66.25,64.87,66.18,9634057
2016-02-16,66.61,66.8,65.5,65.9,10671525
2016-02-17,66.1,66.61,65.81,66.11,12380433
2016-02-18,63.74,64.78,62.35,64.12,27867466
2016-02-19,63.89,64.76,63.44,64.66,15430913
2016-02-22,64.96,66.14,64.96,65.63,10351760
2016-02-23,65.84,66.6,65.28,66.48,11378334
2016-02-24,66.19,67.33,65.72,67.12,9852380
2016-02-25,67.45,68.13,67.33,68.04,9573563
2016-02-26,68.08,68.2,66.3,66.51,10973655
2016-02-29,66.63,66.95,66.22,66.34,9303973
2016-03-01,66.65,66.89,66,66.46,10427175
2016-03-02,66.21,66.67,66,66.21,9163208
2016-03-03,65.95,66.2,64.88,66.14,11844381
2016-03-04,66.14,67.28,66.09,66.78,9863550
2016-03-07,66.62,68.48,66.27,67.89,12821108
2016-03-08,67.73,68.47,67.48,68.04,9990166
2016-03-09,67.79,67.99,67.12,67.53,7824571
2016-03-10,67.55,68.04,66.4,67.41,9661997
2016-03-11,67.77,67.94,66.8,67.17,8289188
2016-03-14,67.15,67.67,66.96,67.36,6710884
2016-03-15,67,68.35,67,68.09,7566895
2016-03-16,67.94,68.34,67.25,67.99,8214505
2016-03-17,67.82,68.92,67.26,67.45,11831599
2016-03-18,67.48,68.03,66.75,66.95,22927319
2016-03-21,67.03,68.38,66.97,67.97,9401758
2016-03-22,68,68.68,67.79,67.87,7497606
2016-03-23,68.01,68.1,67.44,67.46,6092808
2016-03-24,67.43,68.04,67.38,68,6301598
2016-03-28,67.93,68.58,67.93,68.12,5598390
2016-03-29,68.15,68.21,67.43,68.03,6490046
2016-03-30,68.33,69,68.29,68.8,7204059
2016-03-31,68.75,69.19,68.47,68.49,6276436
2016-04-01,68.02,69.2,68.02,69.06,6602027
2016-04-04,69,69.37,68.92,69.1,6821546
2016-04-05,69.03,69.25,68.27,68.64,5775011
2016-04-06,68.7,69.06,68.52,69.04,5299090
2016-04-07,68.83,68.93,67.94,68.22,6094018
2016-04-08,68.31,68.39,67.86,68.06,6022355
2016-04-11,68.01,68.37,67.38,67.4,7848157
2016-04-12,67.57,68.87,67.45,68.8,7732182
2016-04-13,69.01,69.42,68.87,69.15,6262656
2016-04-14,69.15,69.24,68.15,68.8,6973069
2016-04-15,68.94,69.41,68.94,69.06,7575462
2016-04-18,69.05,69.9,68.85,69.86,6620788
2016-04-19,69.79,70.08,69.5,69.77,7701650
2016-04-20,69.76,69.99,69.13,69.21,5406370
2016-04-21,69.47,69.68,68.24,68.47,6603796
2016-04-22,68.82,68.94,68.28,68.72,6215117
2016-04-25,68.55,69.5,68.06,69.47,5887629
2016-04-26,69.7,69.89,69.1,69.3,6647873
2016-04-27,69.49,69.78,68.99,69.42,5141384
2016-04-28,69.07,69.62,68.75,68.91,4775873
2016-04-29,68.73,68.82,66.36,66.87,12080334
2016-05-02,66.62,67.7,66.53,67.59,7602236
2016-05-03,66.86,67.5,66.75,67,5908863
2016-05-04,66.85,67.49,66.44,67.19,5928286
2016-05-05,66.97,67.25,66.58,67.21,8089700
2016-05-06,66.91,68.26,66.8,68.25,9789090
2016-05-09,68.25,69.1,68.16,68.95,8623834
2016-05-10,68.92,69.13,68.45,68.79,6376428
2016-05-11,67.47,67.5,65.61,66.41,14434682
2016-05-12,66.55,67.05,66.38,66.85,9532401
2016-05-13,66.48,66.55,64.65,64.94,13708409
2016-05-16,64.86,66.35,64.68,66.02,10168754
2016-05-17,66.06,66.27,64.88,65.1,9250121
2016-05-18,63.02,63.78,62.72,63.15,22184048
2016-05-19,68.1,69.33,67.5,69.2,34920530
2016-05-20,69.33,70.14,68.85,69.86,16680826
2016-05-23,69.6,70.06,69.44,69.5,10093270
2016-05-24,69.65,70.42,69.55,70.24,8789919
2016-05-25,70.25,71,70.24,70.48,7263246
2016-05-26,70.69,71.38,70.6,70.85,8688476
2016-05-27,70.86,70.89,70.49,70.75,5772191
2016-05-31,70.58,71,70.48,70.78,8390184
