Index,Ticker,Desc,Market Cap,,,
1,SPY,SPDR S&P 500,90.21,,,
2,GLD,SPDR Gold Shares,56.03,,,
3,VWO,Vanguard MSCI Emerging Markets,43.73,,,
4,EFA,iShares MSCI EAFE Index,38.15,,,
5,EEM,iShares MSCI Emerging Markets,36.24,,,
6,IVV,iShares S&P 500 Index,26.95,,,
7,QQQQ,PowerShares QQQ,24.21,,,
8,TIP,iShares Barclays TIPS Bond,19.89,,,
9,VTI,Vanguard Total Stock Market,18.98,,,
10,IWM,iShares Russell 2000 Index,15.39,,,
11,IWF,iShares Russell 1000 Growth,13.29,,,
12,LQD,iShares iBoxx Investment Grade,12.98,,,
13,EWZ,iShares MSCI Brazil Index,12.54,,,
14,SLV,iShares Silver Trust,12.38,,,
15,IWD,iShares Russell 1000 Value,11.80,,,
16,VEA,Vanguard MSCI EAFE ETF,11.34,,,
17,MDY,SPDR S&P MidCap 400,11.11,,,
18,AGG,iShares Barclays Aggregate Bond,11.06,,,
19,BSV,Vanguard Short-Term Bond ETF,10.72,,,
20,IJH,iShares S&P MidCap 400,10.72,,,
21,XLE,Energy Select Sector SPDR,10.38,,,
22,BND,Vanguard Total Bond Market,9.25,,,
23,DIA,SPDR Dow Jones Industrial,9.21,,,
24,VNQ,Vanguard REIT ETF,8.58,,,
25,HYG,iShares iBoxx High Yield,8.32,,,
26,XLF,Financial Select Sector SPDR,8.05,,,
27,SHY,iShares Barclays 1 3,7.93,,,
28,CSJ,iShares Barclays 40546 Year,7.82,,,
29,IJR,iShares S&P SmallCap 600,7.38,,,
30,FXI,iShares FTSE China 25,7.25,,,
31,VEU,Vanguard FTSE All-World ex-US,7.21,,,
32,JNK,SPDR Barclays Capital High,7.06,,,
33,IWB,iShares Russell 1000 Index,7.00,,,
34,PFF,iShares S P U,6.79,,,
35,XLK,Technology Select Sector SPDR,6.79,,,
36,EWJ,iShares MSCI Japan Index,6.47,,,
37,IWR,iShares Russell Midcap Index,6.37,,,
38,VIG,Vanguard Dividend Appreciation ETF,6.10,,,
39,IVW,iShares S&P 500 Growth,6.05,,,
40,DVY,iShares Dow Jones Select,5.99,,,
41,EWC,iShares MSCI Canada,5.97,,,
42,TBT,Proshares UltraShort 20+tsy,5.68,,,
43,IAU,iShares Gold Trust,5.67,,,
44,VUG,Vanguard Growth ETF,5.42,,,
45,SDY,SPDR S&P Dividend,5.37,,,
46,VTV,Vanguard Value ETF,4.84,,,
47,VB,Vanguard Small-Cap ETF,4.64,,,
48,VV,Vanguard Large-Cap ETF,4.61,,,
49,IWN,iShares Russell 2000,4.56,,,
50,IVE,iShares S&P 500,4.51,,,
51,EWY,iShares MSCI South Korea,4.38,,,
52,SHV,iShares Barclays Short TSY,4.16,,,
53,IWO,iShares Russell 2000,4.02,,,
54,XLU,Utilities Select Sector,3.91,,,
55,EPP,iShares MSCI Pacific ex-JP,3.80,,,
56,XLI,Industrial Select Sector,3.69,,,
57,VO,Vanguard Mid-Cap ETF,3.66,,,
58,DBA,DB Agriculture Fund,3.59,,,
59,IWS,iShares Russell Midcap,3.42,,,
60,IWV,iShares Russell 3000,3.42,,,
