Date,Open,High,Low,Close,Adj Close,Volume
2015-04-06,25.090000,25.549999,25.000000,25.450001,25.062248,103900
2015-04-07,25.469999,25.469999,25.200001,25.219999,24.835752,284200
2015-04-08,25.139999,25.209999,24.870001,25.030001,24.648649,97000
2015-04-09,25.070000,25.070000,24.860001,24.990000,24.609259,136800
2015-04-10,25.049999,25.080000,24.940001,25.040001,24.658495,152000
2015-04-13,25.020000,25.090000,24.910000,24.910000,24.530478,57900
2015-04-14,24.950001,25.090000,24.879999,25.070000,24.688040,67800
2015-04-15,25.180000,25.530001,25.160000,25.430000,25.042555,57200
2015-04-16,25.400000,25.469999,25.290001,25.360001,24.973621,110000
2015-04-17,25.209999,25.209999,24.959999,25.030001,24.648649,49600
2015-04-20,25.139999,25.330000,25.139999,25.230000,24.845598,59800
2015-04-21,25.299999,25.299999,24.980000,24.990000,24.609259,49100
2015-04-22,25.040001,25.080000,24.830000,25.059999,24.678190,40700
2015-04-23,25.030001,25.330000,25.020000,25.270000,24.884995,65400
2015-04-24,25.270000,25.299999,25.200001,25.260000,24.875141,68800
2015-04-27,25.260000,25.570000,25.260000,25.370001,24.983467,64200
2015-04-28,25.400000,25.480000,25.230000,25.469999,25.081944,79200
2015-04-29,25.360001,25.540001,25.209999,25.420000,25.032705,102700
2015-04-30,25.350000,25.430000,25.100000,25.160000,24.776667,52900
2015-05-01,25.250000,25.270000,24.990000,25.219999,24.835752,30200
2015-05-04,25.240000,25.350000,25.219999,25.250000,24.865295,77500
2015-05-05,25.240000,25.400000,24.959999,25.000000,24.619106,53000
2015-05-06,25.120001,25.160000,24.980000,25.150000,24.766821,45300
2015-05-07,25.150000,25.230000,25.049999,25.180000,24.796364,50600
2015-05-08,25.410000,25.459999,25.299999,25.299999,24.914532,66200
2015-05-11,25.309999,25.400000,25.240000,25.290001,24.904688,34400
2015-05-12,25.610001,25.680000,25.370001,25.639999,25.249353,148300
2015-05-13,25.830000,25.910000,25.760000,25.799999,25.406918,52200
2015-05-14,25.940001,26.150000,25.900000,26.120001,25.722042,70500
2015-05-15,26.120001,26.190001,26.059999,26.100000,25.702343,46200
