Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,131.440002,133.330002,130.710007,132.970001,132.499466,376000
2018-01-03,135.309998,137.210007,135.199997,136.949997,136.465378,192300
2018-01-04,137.940002,139.240005,137.589996,138.330002,137.840500,207800
2018-01-05,139.720001,142.330002,139.190002,142.020004,141.517456,217400
2018-01-08,141.630005,142.940002,141.220001,142.320007,141.816391,222300
2018-01-09,142.229996,142.229996,139.580002,141.410004,140.909607,275900
2018-01-10,138.190002,139.750000,137.100006,138.809998,138.318802,458700
2018-01-11,138.429993,141.440002,138.320007,141.309998,140.809952,168100
2018-01-12,142.460007,145.660004,141.199997,145.600006,145.084778,231700
2018-01-16,147.449997,148.380005,142.899994,143.600006,143.091858,373300
2018-01-17,147.110001,150.350006,146.559998,149.419998,148.891266,343100
2018-01-18,149.440002,150.399994,148.740005,149.889999,149.359604,213700
2018-01-19,152.259995,153.559998,150.729996,153.169998,152.627991,337100
2018-01-22,153.399994,156.220001,152.179993,156.089996,155.537659,232300
2018-01-23,156.250000,158.479996,155.490005,158.389999,157.829514,245200
2018-01-24,161.440002,163.419998,159.000000,162.350006,161.775513,361400
2018-01-25,162.970001,166.369995,160.600006,161.940002,161.366959,358200
2018-01-26,165.529999,168.699997,164.330002,168.600006,168.003403,258200
2018-01-29,162.429993,163.080002,160.320007,160.910004,160.340607,389000
2018-01-30,155.619995,156.399994,152.419998,154.240005,153.694214,544600
2018-01-31,160.979996,161.210007,154.789993,158.220001,157.660126,256700
2018-02-01,154.330002,156.740005,151.699997,151.919998,151.382416,210300
2018-02-02,147.029999,147.300003,139.949997,140.479996,139.982895,434600
2018-02-05,139.570007,143.850006,125.519997,126.320000,125.873001,677800
2018-02-06,125.419998,140.960007,124.209999,137.669998,137.182831,674800
2018-02-07,130.550003,134.740005,124.480003,124.650002,124.208916,560200
2018-02-08,127.220001,127.220001,112.000000,112.010002,111.613640,587600
2018-02-09,116.230003,119.589996,107.029999,117.110001,116.695595,739100
2018-02-12,122.000000,125.000000,118.760002,122.510002,122.076485,585000
2018-02-13,122.959999,126.290001,122.769997,125.360001,124.916397,328200
2018-02-14,124.629997,135.539993,124.599998,134.699997,134.223343,409100
2018-02-15,141.669998,144.190002,137.139999,143.020004,142.513916,717200
2018-02-16,140.000000,145.199997,139.690002,141.470001,140.969391,552200
2018-02-20,134.089996,137.089996,133.449997,135.669998,135.189911,489100
2018-02-21,139.199997,143.919998,135.009995,135.300003,134.821228,316000
2018-02-22,136.449997,139.500000,135.270004,135.830002,135.349350,224400
2018-02-23,140.330002,142.910004,138.899994,142.679993,142.175110,166000
2018-02-26,143.690002,146.559998,141.339996,146.440002,145.921814,309900
2018-02-27,141.220001,141.479996,133.880005,133.949997,133.475998,581500
2018-02-28,134.899994,135.190002,128.250000,128.500000,128.045288,369700
2018-03-01,130.929993,133.649994,123.839996,127.500000,127.048828,387400
2018-03-02,122.500000,129.550003,120.620003,128.910004,128.453842,295000
2018-03-05,124.589996,130.100006,124.199997,129.460007,129.001892,240100
2018-03-06,136.000000,136.149994,132.000000,133.020004,132.549301,312900
2018-03-07,130.399994,133.559998,128.720001,133.509995,133.037552,205000
2018-03-08,134.009995,134.520004,131.630005,133.589996,133.117279,189200
2018-03-09,136.789993,142.050003,136.419998,142.009995,141.507477,402600
2018-03-12,142.600006,143.729996,140.740005,142.800003,142.294693,336900
2018-03-13,145.000000,145.559998,137.649994,139.119995,138.627701,278900
2018-03-14,142.009995,142.690002,137.380005,139.660004,139.165802,232200
2018-03-15,140.899994,141.470001,136.720001,138.110001,137.621277,106000
2018-03-16,136.669998,138.220001,136.470001,137.139999,136.654709,77900
2018-03-19,134.399994,135.419998,130.300003,132.820007,132.350006,181400
2018-03-20,135.600006,137.500000,134.949997,136.619995,136.619995,102500
2018-03-21,136.110001,140.449997,134.949997,139.130005,139.130005,201800
2018-03-22,129.610001,131.470001,124.629997,125.180000,125.180000,365400
2018-03-23,125.739998,126.260002,117.379997,117.559998,117.559998,344500
2018-03-26,126.639999,129.270004,122.440002,128.940002,128.940002,240100
2018-03-27,129.289993,129.660004,121.000000,122.099998,122.099998,253800
2018-03-28,120.589996,121.959999,117.589996,120.150002,120.150002,295800
2018-03-29,122.430000,128.750000,122.220001,127.449997,127.449997,212600
2018-04-02,124.930000,126.489998,117.110001,120.500000,120.500000,280100
2018-04-03,123.940002,124.540001,121.019997,124.239998,124.239998,182300
2018-04-04,113.839996,124.500000,113.519997,124.150002,124.150002,273900
2018-04-05,125.849998,127.000000,123.959999,125.040001,125.040001,182900
2018-04-06,121.320000,123.970001,115.720001,117.809998,117.809998,226500
2018-04-09,120.129997,122.000000,118.120003,118.180000,118.180000,169700
2018-04-10,123.099998,125.470001,121.739998,124.940002,124.940002,292900
2018-04-11,122.660004,125.949997,122.610001,125.260002,125.260002,197300
