Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,217.250000,217.500000,212.750000,213.250000,212.919800,25900
2018-01-03,209.500000,210.500000,206.750000,207.250000,206.929092,27800
2018-01-04,205.500000,206.000000,203.500000,204.250000,203.933731,19300
2018-01-05,202.500000,203.750000,199.000000,199.250000,198.941483,16800
2018-01-08,199.750000,200.500000,198.000000,199.250000,198.941483,18300
2018-01-09,198.750000,202.750000,198.750000,200.500000,200.189545,18700
2018-01-10,204.250000,206.500000,202.500000,204.000000,203.684128,35300
2018-01-11,204.250000,204.750000,200.000000,200.250000,199.939926,33000
2018-01-12,198.250000,199.750000,194.250000,194.250000,193.949219,16700
2018-01-16,192.000000,197.750000,190.500000,196.750000,196.445343,33600
2018-01-17,192.500000,193.000000,187.500000,189.000000,188.707352,46100
2018-01-18,189.000000,189.750000,187.750000,188.250000,187.958511,15900
2018-01-19,185.250000,187.000000,183.500000,183.750000,183.465485,21600
2018-01-22,184.000000,185.250000,180.500000,180.750000,180.470123,15500
2018-01-23,180.250000,181.500000,177.750000,178.250000,177.973999,14700
2018-01-24,174.750000,177.500000,172.500000,173.500000,173.231354,47100
2018-01-25,173.250000,175.250000,169.500000,174.000000,173.730576,36200
2018-01-26,170.000000,171.500000,166.750000,166.750000,166.491806,22000
2018-01-29,173.000000,175.000000,172.500000,174.250000,173.980194,33900
2018-01-30,179.750000,183.750000,179.500000,181.500000,181.218964,75300
2018-01-31,173.750000,180.750000,173.500000,177.250000,176.975540,60100
2018-02-01,181.250000,184.500000,178.500000,184.000000,183.715088,38400
2018-02-02,190.000000,198.750000,189.000000,198.000000,197.693420,91900
2018-02-05,199.250000,218.750000,193.000000,217.750000,217.412827,101100
2018-02-06,219.750000,220.750000,192.000000,198.000000,197.693420,145000
2018-02-07,208.000000,216.250000,201.750000,216.000000,215.665543,53500
2018-02-08,211.750000,239.500000,211.500000,239.500000,239.129150,110400
2018-02-09,229.000000,249.000000,221.750000,226.750000,226.398895,168700
2018-02-12,218.000000,223.500000,212.000000,217.000000,216.664001,88900
2018-02-13,215.500000,216.250000,210.000000,211.500000,211.172516,50700
2018-02-14,213.000000,213.000000,194.750000,196.000000,195.696518,63900
2018-02-15,185.250000,192.250000,182.000000,183.750000,183.465485,88200
2018-02-16,187.750000,187.750000,181.000000,185.750000,185.462387,76800
2018-02-20,195.250000,196.250000,191.500000,193.500000,193.200378,64500
2018-02-21,188.500000,194.250000,181.500000,193.750000,193.449997,85400
2018-02-22,192.500000,194.000000,187.750000,193.000000,192.701157,46900
2018-02-23,187.000000,188.750000,183.000000,183.250000,182.966248,43900
2018-02-26,182.000000,184.750000,178.250000,178.500000,178.223602,34300
2018-02-27,185.250000,193.750000,184.250000,193.750000,193.449997,67200
2018-02-28,192.000000,201.750000,191.500000,201.750000,201.437607,66600
2018-03-01,197.500000,208.500000,193.000000,203.250000,202.935287,138700
2018-03-02,211.250000,213.750000,199.750000,200.500000,200.189545,97600
2018-03-05,207.750000,208.000000,199.000000,199.750000,199.440704,40600
2018-03-06,189.500000,196.000000,189.500000,194.250000,193.949219,37400
2018-03-07,198.250000,200.750000,193.500000,193.750000,193.449997,38900
2018-03-08,192.500000,196.500000,192.000000,193.500000,193.200378,41100
2018-03-09,188.750000,189.500000,181.250000,181.250000,180.969345,32400
2018-03-12,180.250000,183.000000,179.000000,180.000000,179.721283,61900
2018-03-13,177.750000,186.750000,176.750000,185.000000,184.713547,57700
2018-03-14,181.250000,187.250000,180.250000,184.000000,183.715088,72500
2018-03-15,182.000000,188.000000,181.750000,186.250000,185.961609,36300
2018-03-16,188.250000,188.500000,186.000000,187.500000,187.209671,30500
2018-03-19,191.250000,196.750000,189.750000,193.750000,193.449997,43700
2018-03-20,188.000000,189.500000,185.500000,187.000000,187.000000,60700
2018-03-21,187.750000,189.000000,181.500000,183.500000,183.500000,39300
2018-03-22,196.000000,202.500000,193.500000,201.750000,201.750000,87000
2018-03-23,201.000000,214.500000,199.750000,214.000000,214.000000,110600
2018-03-26,197.500000,205.000000,192.750000,193.250000,193.250000,70700
2018-03-27,192.750000,205.250000,192.250000,203.750000,203.750000,86200
2018-03-28,41.200001,42.250000,40.750000,41.349998,41.349998,377300
2018-03-29,40.430000,40.680000,38.419998,38.849998,38.849998,524400
2018-04-02,39.689999,42.020000,39.130001,40.970001,40.970001,498100
2018-04-03,39.790001,40.820000,39.590000,39.709999,39.709999,925400
2018-04-04,43.099998,43.270000,39.599998,39.750000,39.750000,763700
2018-04-05,39.130001,39.830002,38.799999,39.430000,39.430000,382600
2018-04-06,40.580002,42.389999,39.810001,41.689999,41.689999,530100
2018-04-09,40.790001,41.630001,40.209999,41.619999,41.619999,407600
2018-04-10,39.849998,40.310001,39.000000,39.169998,39.169998,628100
2018-04-11,39.950001,39.950001,38.869999,39.099998,39.099998,504300
