Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,69.180000,69.180000,67.360001,67.940002,67.818924,1648200
2018-01-03,67.989998,69.040001,67.839996,68.860001,68.737282,1267800
2018-01-04,69.489998,71.410004,69.410004,69.919998,69.795387,2629200
2018-01-05,70.739998,71.029999,69.800003,70.940002,70.813576,1761500
2018-01-08,70.720001,71.300003,70.279999,71.050003,70.923378,1492300
2018-01-09,71.500000,72.669998,71.389999,71.790001,71.662056,1659600
2018-01-10,71.860001,73.099998,71.260002,72.500000,72.370789,2335300
2018-01-11,73.220001,73.370003,72.419998,73.330002,73.199318,1875100
2018-01-12,73.870003,74.629997,73.300003,74.510002,74.377213,2231300
2018-01-16,76.010002,76.660004,73.220001,74.059998,73.928009,2709100
2018-01-17,74.599998,76.209999,73.430000,75.879997,75.744766,2225000
2018-01-18,76.070000,76.190002,75.010002,75.330002,75.195747,1473800
2018-01-19,75.800003,76.889999,75.610001,76.889999,76.752968,1607200
2018-01-22,76.599998,78.820000,76.599998,78.790001,78.649582,2003000
2018-01-23,78.769997,79.669998,77.860001,79.480003,79.338356,2593500
2018-01-24,80.279999,81.089996,78.820000,80.389999,80.246727,2674600
2018-01-25,81.010002,81.050003,79.459999,80.190002,80.047089,1940100
2018-01-26,80.779999,81.709999,79.849998,81.709999,81.564377,1921500
2018-01-29,81.980003,82.800003,80.000000,80.110001,79.967232,2605800
2018-01-30,77.610001,79.589996,77.029999,77.699997,77.561523,2333200
2018-01-31,78.300003,79.550003,77.839996,78.800003,78.659569,1474100
2018-02-01,78.400002,80.029999,77.989998,79.699997,79.557961,1623200
2018-02-02,78.750000,79.000000,74.599998,74.820000,74.686661,3301800
2018-02-05,71.800003,74.150002,63.450001,65.029999,64.914101,4994800
2018-02-06,61.000000,68.400002,60.549999,67.989998,67.868828,5040400
2018-02-07,67.410004,70.790001,66.980003,67.930000,67.808937,3210700
2018-02-08,68.410004,68.699997,60.500000,60.509998,60.402157,3781600
2018-02-09,62.990002,64.250000,57.110001,63.000000,62.887722,4295900
2018-02-12,64.500000,66.500000,62.660000,65.239998,65.123726,2585900
2018-02-13,64.059998,66.559998,63.919998,66.180000,66.062057,1861000
2018-02-14,65.339996,69.809998,65.309998,69.680000,69.555817,3086800
2018-02-15,71.139999,71.379997,69.010002,71.230003,71.103058,3119100
2018-02-16,70.510002,72.900002,70.269997,71.459999,71.332642,2093600
2018-02-20,70.650002,72.750000,69.830002,70.510002,70.384338,1693600
2018-02-21,70.519997,73.099998,69.599998,69.599998,69.475960,1550400
2018-02-22,70.389999,71.449997,68.440002,68.879997,68.757240,1984000
2018-02-23,69.760002,72.000000,69.500000,72.000000,71.871681,1779300
2018-02-26,73.050003,74.500000,72.050003,74.489998,74.357246,1877900
2018-02-27,74.459999,75.629997,72.070000,72.139999,72.011436,2100500
2018-02-28,72.860001,74.080002,69.919998,69.949997,69.825333,1604900
2018-03-01,70.019997,71.519997,65.919998,66.970001,66.850647,2990500
2018-03-02,65.500000,68.000000,64.050003,67.650002,67.529434,2508400
2018-03-05,66.419998,71.250000,66.199997,70.379997,70.254570,1731500
2018-03-06,71.459999,71.580002,69.279999,71.180000,71.053146,1680400
2018-03-07,69.160004,71.669998,69.000000,71.269997,71.142982,1485700
2018-03-08,71.750000,72.089996,70.099998,71.870003,71.741920,1407300
2018-03-09,73.370003,76.239998,72.889999,76.180000,76.044235,2742800
2018-03-12,76.269997,76.790001,75.370003,75.830002,75.694862,1945200
2018-03-13,76.489998,76.980003,73.500000,74.029999,73.898064,2005300
2018-03-14,74.980003,74.980003,71.879997,72.449997,72.320877,1580900
2018-03-15,73.180000,73.320000,71.919998,72.449997,72.320877,1040900
2018-03-16,72.660004,74.150002,72.660004,73.169998,73.039597,1371900
2018-03-19,72.480003,72.989998,69.459999,71.260002,71.133003,1931300
2018-03-20,71.599998,72.419998,71.330002,71.790001,71.790001,796800
2018-03-21,71.940002,73.680000,71.010002,71.190002,71.190002,1938100
2018-03-22,69.129997,69.769997,64.500000,64.779999,64.779999,3804600
2018-03-23,65.099998,65.379997,59.360001,59.680000,59.680000,4380400
2018-03-26,62.860001,65.070000,61.230000,64.709999,64.709999,2746000
2018-03-27,65.309998,65.790001,60.139999,61.419998,61.419998,2369400
2018-03-28,61.959999,63.470001,60.189999,62.049999,62.049999,2010700
2018-03-29,63.040001,65.300003,62.139999,64.279999,64.279999,1831400
2018-04-02,63.939999,64.400002,58.240002,60.369999,60.369999,2837300
2018-04-03,61.520000,62.830002,59.990002,62.459999,62.459999,2259100
2018-04-04,59.700001,64.620003,59.549999,64.230003,64.230003,2536500
2018-04-05,65.410004,66.529999,64.690002,65.449997,65.449997,2054900
2018-04-06,63.509998,64.800003,59.799999,61.259998,61.259998,2874200
2018-04-09,62.299999,65.080002,61.660000,61.869999,61.869999,2223500
2018-04-10,64.550003,65.220001,63.250000,64.150002,64.150002,1874600
2018-04-11,62.980000,64.010002,62.200001,62.470001,62.470001,1873800
