Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2018-01-19,63.54,63.66,62.93,63.37,-0.58,63.21,12067.0,27090.0,,,3121.0
2018-01-18,64.19,64.28,63.48,63.95,-0.02,63.91,24827.0,33161.0,,,1708.0
2018-01-17,63.94,64.16,63.32,63.97,0.24,63.77,27789.0,40204.0,,,3570.0
2018-01-16,64.62,64.64,63.39,63.73,-1.09,63.93,55299.0,49181.0,,,5876.0
2018-01-15,64.4,64.88,64.1,64.82,0.52,64.52,16080.0,49055.0,,,1310.0
2018-01-12,63.58,64.49,63.07,64.3,0.5,63.76,39208.0,50477.0,,,335.0
2018-01-11,63.56,64.77,63.44,63.8,0.23,64.12,63557.0,57567.0,,,1169.0
2018-01-10,63.4,63.67,63.09,63.57,0.61,63.42,49341.0,61774.0,,,655.0
2018-01-09,62.17,63.49,61.8,62.96,1.23,62.46,73660.0,62253.0,,,1347.0
2018-01-08,61.8,61.95,61.35,61.73,0.29,61.61,54585.0,66244.0,,,632.0
2018-01-05,61.97,62.04,61.11,61.44,-0.57,61.43,47103.0,67746.0,,,175.0
2018-01-04,61.78,62.21,61.6,62.01,0.38,61.92,65139.0,71576.0,,,240.0
2018-01-03,60.42,61.96,60.28,61.63,1.26,61.2,83869.0,68953.0,,,787.0
2018-01-02,60.26,60.74,60.12,60.37,,60.3,37874.0,69035.0,,,328.0
2017-12-29,59.86,60.52,59.86,60.42,0.58,60.23,27593.0,72307.0,,,1952.0
2017-12-28,59.65,59.93,59.45,59.84,0.2,59.67,23325.0,74301.0,,,649.0
2017-12-27,59.75,59.93,59.34,59.64,-0.33,59.6,29349.0,77080.0,,,895.0
2017-12-26,58.57,60.0,58.34,59.97,,59.48,31247.0,80684.0,,,219.0
2017-12-22,58.16,58.5,57.88,58.47,0.11,58.15,34749.0,82342.0,,,
2017-12-21,58.06,58.38,57.64,58.36,0.27,58.08,37517.0,87657.0,,,11.0
2017-12-20,57.71,58.12,57.45,58.09,0.53,57.83,49393.0,92816.0,,,1034.0
2017-12-19,57.3,57.79,57.23,57.56,0.34,57.54,44877.0,93693.0,,,388.0
2017-12-18,57.43,57.8,56.89,57.22,-0.11,57.4,62220.0,90310.0,,,573.0
2017-12-15,57.17,57.51,57.0,57.33,0.25,57.3,44028.0,86430.0,,,1422.0
2017-12-14,56.81,57.25,56.12,57.08,0.49,56.67,67931.0,85782.0,,,766.0
2017-12-13,57.51,57.79,56.54,56.59,-0.57,57.08,73947.0,79624.0,,,1377.0
2017-12-12,58.04,58.6,56.89,57.16,-0.89,57.84,82757.0,81736.0,,,2517.0
2017-12-11,57.32,58.13,57.02,58.05,0.61,57.74,86264.0,83238.0,,,3398.0
2017-12-08,56.66,57.82,56.63,57.44,0.69,57.49,64715.0,87114.0,,,620.0
2017-12-07,56.16,56.83,55.91,56.75,0.72,56.47,43672.0,82770.0,,,105.0
2017-12-06,57.47,57.62,55.97,56.03,-1.64,56.74,58311.0,78975.0,,,2072.0
2017-12-05,57.54,57.96,57.13,57.67,0.18,57.61,47212.0,76746.0,,,1675.0
2017-12-04,58.39,58.39,57.38,57.49,-0.89,57.67,55916.0,81018.0,,,262.0
2017-12-01,57.48,58.89,57.39,58.38,0.93,58.28,59847.0,78875.0,,,748.0
2017-11-30,57.36,58.02,56.9,57.45,0.09,57.56,71333.0,73743.0,,,62.0
2017-11-29,57.8,58.34,56.83,57.36,-0.69,57.62,72027.0,76121.0,,,4020.0
2017-11-28,57.93,58.14,57.5,58.05,-0.11,57.87,44830.0,74429.0,,,3228.0
2017-11-27,58.89,58.9,57.6,58.16,-0.75,58.13,71105.0,71408.0,,,509.0
2017-11-24,58.45,58.98,58.39,58.91,0.4,58.7,32014.0,69852.0,,,100.0
2017-11-23,57.9,58.58,57.77,58.51,0.49,58.18,10939.0,70779.0,,,
2017-11-22,57.2,58.12,57.2,58.02,1.1,57.77,82541.0,72532.0,,,42.0
2017-11-21,56.46,57.29,56.44,56.92,0.39,56.83,48395.0,71019.0,,,210.0
2017-11-20,56.84,56.95,55.87,56.53,-0.28,56.32,45526.0,65444.0,,,454.0
2017-11-17,55.56,56.88,55.54,56.81,1.32,56.49,57313.0,62291.0,,,175.0
