"date","close","volume","open","high","low"
"16:00","48.14","80,289,538","47.92","48.31","47.84"
"2018/04/17","47.7300","57386440.0000","47.4200","47.8650","47.4000"
"2018/04/16","47.6300","43005830.0000","47.5000","47.6650","47.3500"
"2018/04/13","47.5700","56518000.0000","48.0100","48.0600","47.4400"
"2018/04/12","48.0500","52966900.0000","47.9700","48.1900","47.8900"
"2018/04/11","48.0700","51568300.0000","47.7485","48.1761","47.7400"
"2018/04/10","48.0500","90098400.0000","47.8200","48.1200","47.6100"
"2018/04/09","47.1300","55351570.0000","47.4200","47.6550","47.1200"
"2018/04/06","47.0800","74901370.0000","47.5400","47.8700","46.8000"
"2018/04/05","48.0200","47901360.0000","48.0900","48.2600","47.8300"
"2018/04/04","47.9000","66744750.0000","46.5900","47.9300","46.5410"
"2018/04/03","47.8800","52171210.0000","47.8400","47.9400","47.4600"
"2018/04/02","47.4100","72280290.0000","47.9500","48.1700","46.9600"
"2018/03/29","48.2800","84235940.0000","47.6300","48.4500","47.5700"
"2018/03/28","47.2900","78140850.0000","47.3800","47.5500","46.9700"
"2018/03/27","47.5300","84232080.0000","48.4500","48.5200","47.4200"
"2018/03/26","48.4100","73319590.0000","48.1000","48.4700","47.5450"
"2018/03/23","46.8900","82777990.0000","47.9400","48.0250","46.8650"
"2018/03/22","47.8600","87618630.0000","48.3700","48.6100","47.7800"
"2018/03/21","49.5100","76968310.0000","49.1600","49.7000","49.0100"
"2018/03/20","49.2200","59442710.0000","49.0900","49.3400","48.9800"
"2018/03/19","48.6800","65393730.0000","48.8900","49.0000","48.3900"
"2018/03/16","49.2100","65655020.0000","49.1400","49.3500","49.1200"
"2018/03/15","49.3200","65778890.0000","49.6600","49.7300","49.1407"
"2018/03/14","49.5000","50975970.0000","49.7900","49.8600","49.2250"
"2018/03/13","49.4200","60348980.0000","50.1000","50.1800","49.2400"
"2018/03/12","49.8700","52944460.0000","49.8100","49.9700","49.6100"
"2018/03/09","49.7500","58816500.0000","49.1100","49.7700","49.0700"
