"date","close","volume","open","high","low"
"16:00","122.33","24,616","123.79","124.115","122.14"
"2018/04/17","122.9800","100025.0000","124.1800","124.6300","122.5000"
"2018/04/16","122.3700","42528.0000","122.1000","123.5900","121.9904"
"2018/04/13","121.2300","124018.0000","125.3200","125.5250","120.1000"
"2018/04/12","123.6400","83406.0000","122.5300","124.9800","122.3800"
"2018/04/11","120.8899","32591.0000","120.8800","122.7100","119.8800"
"2018/04/10","123.0500","63024.0000","123.4200","124.3000","121.9800"
"2018/04/09","120.1800","65646.0000","120.4800","124.3000","119.8600"
"2018/04/06","119.4800","79496.0000","121.8500","124.0000","117.7404"
"2018/04/05","124.9400","31858.0000","125.0000","126.1500","124.0800"
"2018/04/04","123.3800","46108.0000","116.4000","123.8500","116.1700"
"2018/04/03","120.9500","40575.0000","119.3000","121.1600","117.9400"
"2018/04/02","118.0300","171745.0000","122.6770","123.0000","115.3800"
"2018/03/29","123.1600","51934.0000","121.0200","124.3800","120.6000"
"2018/03/28","120.2500","81676.0000","119.5400","121.4750","118.0300"
"2018/03/27","119.1800","82667.0000","124.1200","124.5600","117.7500"
"2018/03/26","123.1700","83928.0000","120.4300","123.5000","118.6500"
"2018/03/23","116.5400","178632.0000","122.9300","123.9000","116.1700"
"2018/03/22","123.0300","153572.0000","128.2700","129.3100","122.7500"
"2018/03/21","131.0100","48385.0000","131.5210","133.8600","130.6700"
"2018/03/20","131.7000","15179.0000","131.9400","132.2900","131.3000"
"2018/03/19","131.1700","46062.0000","132.9700","133.0000","129.0000"
"2018/03/16","133.3400","30097.0000","132.9100","134.7000","132.9100"
"2018/03/15","132.4200","62003.0000","133.2400","133.4154","131.8500"
"2018/03/14","132.2100","78219.0000","135.5700","135.6800","131.7000"
"2018/03/13","134.6000","72022.0000","138.0000","138.1000","134.0000"
"2018/03/12","136.8100","76802.0000","137.6600","138.0200","136.3000"
"2018/03/09","137.3500","70188.0000","134.1500","137.4300","133.4600"
"2018/03/08","132.0600","32882.0000","132.2400","132.2400","129.8300"
"2018/03/07","131.3800","36290.0000","128.3800","131.8490","127.6800"
"2018/03/06","131.1600","48532.0000","131.3200","131.5000","128.9000"
"2018/03/05","130.0500","60737.0000","124.8700","131.1800","124.8000"
"2018/03/02","126.6700","67311.0000","124.0000","127.1000","122.2900"
"2018/03/01","125.9200","125949.0000","129.7000","131.3600","124.7700"
"2018/02/28","129.5500","49613.0000","133.2100","134.3986","129.5500"
"2018/02/27","132.2200","102044.0000","135.5500","136.7500","132.2200"
"2018/02/26","135.4700","58569.0000","133.3900","135.4700","132.5300"
"2018/02/23","132.1900","57351.0000","129.3800","132.2100","128.0600"
"2018/02/22","128.3200","33350.0000","130.4700","131.5950","127.9700"
"2018/02/21","129.5800","54762.0000","130.5500","133.7700","129.5800"
"2018/02/20","130.6264","68240.0000","131.1000","132.4790","129.9800"
"2018/02/16","132.0000","52772.0000","130.6400","133.4300","130.6400"
"2018/02/15","131.4800","96421.0000","131.7500","131.7500","128.9700"
"2018/02/14","129.7600","55947.0000","124.4200","129.9000","124.2800"
