"date","close","volume","open","high","low"
"16:00","150.63","895,584","150.87","151.15","150.35"
"2018/04/17","150.4600","893402.0000","149.9600","150.8525","149.6600"
"2018/04/16","148.8800","1324985.0000","148.6800","149.3600","148.1900"
"2018/04/13","147.7000","1822922.0000","148.9300","148.9900","147.0100"
"2018/04/12","148.0600","697050.0000","147.8100","148.6845","147.4700"
"2018/04/11","146.9500","630977.0000","146.7400","147.9700","146.7300"
"2018/04/10","147.6500","884762.0000","147.0900","148.1500","146.5200"
"2018/04/09","145.3000","800119.0000","145.6800","147.4600","145.1201"
"2018/04/06","144.7900","1095582.0000","146.8000","147.7000","143.7700"
"2018/04/05","147.9400","615892.0000","147.8200","148.4800","147.2800"
"2018/04/04","146.9400","1725442.0000","143.1700","147.2200","142.9200"
"2018/04/03","145.2700","1301881.0000","144.3300","145.5500","143.2000"
"2018/04/02","143.4700","1418493.0000","146.4000","146.6400","141.9700"
"2018/03/29","146.8600","2765074.0000","145.5100","147.7434","145.0600"
"2018/03/28","144.7900","1909887.0000","145.3900","146.2200","144.1200"
"2018/03/27","145.1800","1707954.0000","148.3700","148.5700","144.2900"
"2018/03/26","147.7300","1388542.0000","146.1000","147.8800","144.6500"
"2018/03/23","143.9000","1749533.0000","147.1400","147.6900","143.7800"
"2018/03/22","146.9900","1632282.0000","149.3200","149.8700","146.8700"
"2018/03/21","151.3500","835245.0000","151.5700","152.7600","151.2400"
"2018/03/20","151.5400","1608352.0000","151.5100","151.9700","151.1800"
"2018/03/19","151.3400","1433807.0000","152.8900","152.8900","150.3300"
"2018/03/16","153.3900","1359672.0000","153.3200","153.9700","153.3200"
"2018/03/15","153.1300","832928.0000","153.6700","154.0000","152.8200"
"2018/03/14","153.3400","778066.0000","154.7400","154.7942","153.0200"
"2018/03/13","154.1300","1323954.0000","155.7600","156.0700","153.7800"
"2018/03/12","155.0800","1097095.0000","155.5100","155.7900","154.8400"
"2018/03/09","155.2000","990164.0000","153.3400","155.2300","153.3200"
"2018/03/08","152.6400","1117544.0000","152.3300","152.7300","151.7400"
"2018/03/07","151.9800","834405.0000","150.6400","152.1900","150.6400"
"2018/03/06","151.9800","494955.0000","152.0600","152.1100","151.0000"
"2018/03/05","151.5000","1483592.0000","149.0200","151.8700","149.0000"
"2018/03/02","149.8100","1442659.0000","147.8400","150.1100","147.3600"
"2018/03/01","148.8900","1664392.0000","150.9500","151.8556","147.9800"
"2018/02/28","150.8500","935375.0000","153.0800","153.4300","150.8300"
"2018/02/27","152.4800","1252997.0000","154.4800","154.9400","152.4800"
"2018/02/26","154.4100","834350.0000","153.4200","154.4800","152.9900"
"2018/02/23","152.7300","463256.0000","151.2000","152.7300","150.9000"
"2018/02/22","150.3700","847425.0000","150.8000","151.8500","150.0000"
"2018/02/21","150.2700","985188.0000","151.3200","152.8100","150.2600"
"2018/02/20","151.0000","1065825.0000","151.2700","152.2300","150.5100"
"2018/02/16","151.9300","2029864.0000","151.3700","153.1300","151.3700"
"2018/02/15","151.8200","1013798.0000","150.9100","151.8300","149.5200"
"2018/02/14","150.0000","1363598.0000","147.0600","150.1900","147.0600"
"2018/02/13","147.9400","1053911.0000","146.8100","148.2500","146.5600"
"2018/02/12","147.4900","2055050.0000","146.6300","148.3900","145.6200"
"2018/02/09","145.4900","3706373.0000","145.0600","146.5100","140.7600"
"2018/02/08","143.4000","3519378.0000","148.9500","149.2000","143.3900"
"2018/02/07","148.9300","3300809.0000","149.2300","151.3900","148.9300"
"2018/02/06","149.5600","3123996.0000","144.5500","149.9071","144.0000"
"2018/02/05","147.0300","2557293.0000","152.0000","153.3600","146.6600"
"2018/02/02","153.2500","2230094.0000","155.6200","155.8000","153.1900"
"2018/02/01","156.5800","3938026.0000","156.1500","157.3000","156.0500"
"2018/01/31","156.6500","1473115.0000","157.2200","157.4900","156.0200"
"2018/01/30","156.5900","1348334.0000","156.9900","157.4200","156.3300"
"2018/01/29","158.2400","1233760.0000","158.9900","159.2100","158.1400"
"2018/01/26","159.2800","769175.0000","158.0600","159.3100","157.9100"
"2018/01/25","157.5600","1224603.0000","158.1100","158.1599","157.0800"
"2018/01/24","157.5400","1214326.0000","157.9900","158.3900","156.8000"
"2018/01/23","157.6400","766881.0000","157.3300","157.7700","157.1100"
"2018/01/22","157.2500","682285.0000","155.9100","157.2600","155.9000"
"2018/01/19","156.0200","832812.0000","155.5600","156.0200","155.3200"
"2018/01/18","155.2600","1992115.0000","155.4400","155.7000","154.9900"
"2018/01/17","155.5000","1299956.0000","154.7200","155.7600","154.2200"
"2018/01/16","154.0800","1495074.0000","155.3400","155.8500","153.6400"
"2018/01/12","154.6700","1202170.0000","153.9000","154.7600","153.7900"
"2018/01/11","153.6800","734976.0000","152.8800","153.7000","152.8200"
"2018/01/10","152.5300","907272.0000","152.4000","152.7000","151.8800"
"2018/01/09","152.7900","814364.0000","152.8000","153.1900","152.5700"
"2018/01/08","152.4600","821156.0000","152.0400","152.5800","151.9200"
"2018/01/05","152.1500","868129.0000","151.7300","152.2400","151.4100"
"2018/01/04","151.2300","942283.0000","151.0500","151.5100","151.0000"
"2018/01/03","150.6000","688886.0000","149.8600","150.6900","149.8400"
"2018/01/02","149.7000","1175719.0000","149.1200","149.7200","148.9500"
"2017/12/29","148.6100","1954881.0000","149.5000","149.5400","148.5000"
"2017/12/28","149.2200","1004875.0000","149.2200","149.2700","148.9400"
"2017/12/27","148.9000","924352.0000","148.8300","149.1250","148.7200"
"2017/12/26","148.7900","778532.0000","148.6700","148.9000","148.6400"
"2017/12/22","148.9500","1185696.0000","149.0100","149.0400","148.6400"
"2017/12/21","149.0000","747913.0000","148.9700","149.3900","148.6800"
"2017/12/20","149.3100","1980848.0000","149.9000","149.9900","149.1000"
"2017/12/19","149.3700","1010950.0000","150.0200","150.0900","149.3350"
"2017/12/18","149.9300","793409.0000","149.7800","150.1200","149.6900"
"2017/12/15","148.9400","4546195.0000","148.3300","149.2400","148.2700"
"2017/12/14","147.7200","679759.0000","148.5400","148.6200","147.6900"
"2017/12/13","148.3300","913333.0000","148.5400","148.8300","148.3000"
"2017/12/12","148.4200","803626.0000","148.3200","148.6900","148.2000"
"2017/12/11","148.1700","1540987.0000","147.7900","148.2000","147.7700"
"2017/12/08","147.7600","1800460.0000","147.5600","147.7900","147.3200"
"2017/12/07","146.9500","659459.0000","146.3300","147.1600","146.2900"
"2017/12/06","146.4500","663599.0000","146.2300","146.7100","146.1900"
"2017/12/05","146.4900","2494006.0000","147.1000","147.5700","146.4000"
"2017/12/04","147.0300","924818.0000","148.3000","148.5500","147.0200"
"2017/12/01","147.2100","1435565.0000","147.3300","147.6900","145.1400"
"2017/11/30","147.4300","1435582.0000","146.8700","148.0800","146.8600"
"2017/11/29","146.2800","1786781.0000","146.4900","146.8500","146.0100"
"2017/11/28","146.3500","1032174.0000","145.2600","146.4000","145.1500"
"2017/11/27","144.9600","703196.0000","145.0900","145.2400","144.8150"
"2017/11/24","145.0200","265150.0000","145.0600","145.1100","144.9500"
"2017/11/22","144.7000","699362.0000","144.8900","144.9500","144.6250"
"2017/11/21","144.8200","1322010.0000","144.3700","144.9116","144.3100"
"2017/11/20","143.8900","799581.0000","143.7900","143.9900","143.6250"
"2017/11/17","143.6300","831267.0000","143.7200","143.8800","143.5900"
"2017/11/16","143.9500","655898.0000","143.2300","144.1535","143.2300"
"2017/11/15","142.7200","786515.0000","142.7700","143.1000","142.2000"
"2017/11/14","143.4300","760191.0000","143.2100","143.4800","142.7900"
"2017/11/13","143.7100","489880.0000","143.0900","143.8700","143.0900"
"2017/11/10","143.5800","417784.0000","143.3700","143.6800","143.2300"
"2017/11/09","143.6500","778801.0000","143.4300","143.7750","142.6600"
"2017/11/08","144.1800","583852.0000","143.8400","144.2400","143.6500"
"2017/11/07","143.9100","698073.0000","144.1800","144.3500","143.6100"
"2017/11/06","144.0200","503050.0000","143.7500","144.1600","143.7500"
"2017/11/03","143.8400","661328.0000","143.4800","143.8600","143.2100"
"2017/11/02","143.3600","2775510.0000","143.2700","143.4600","142.6400"
"2017/11/01","143.3000","1030107.0000","143.5400","143.9000","143.0700"
"2017/10/31","143.1100","1208942.0000","143.1100","143.3385","142.9500"
"2017/10/30","142.9500","740433.0000","143.0600","143.3700","142.7100"
"2017/10/27","143.4300","801382.0000","142.7400","143.5000","142.5600"
"2017/10/26","142.3200","466849.0000","142.4200","142.6600","142.2500"
"2017/10/25","142.1200","619018.0000","142.6300","142.7000","141.3650"
"2017/10/24","142.8500","520650.0000","142.8600","142.9850","142.6200"
"2017/10/23","142.5700","441346.0000","143.3700","143.4400","142.5400"
"2017/10/20","143.1200","1312647.0000","142.9100","143.1644","142.7900"
"2017/10/19","142.4600","521599.0000","141.8400","142.4600","141.5900"
"2017/10/18","142.3500","470429.0000","142.5400","142.5400","142.2800"
"2017/10/17","142.2300","437850.0000","142.1400","142.2800","142.0050"
